filename,kind,category,title,url
01_Zhou_2019_SUHI_review.pdf,pdf,review,"Satellite Remote Sensing of Surface Urban Heat Islands",https://www.mdpi.com/2072-4292/11/1/48/pdf
02_Li_2023_Global_LST_review.pdf,pdf,review,"Satellite Remote Sensing of Global Land Surface Temperature",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2022RG000777
03_BartesaghiKoc_2018_systematic_review.pdf,pdf,review,"Evaluating the cooling effects of green infrastructure",https://unsworks.unsw.edu.au/bitstreams/744ee1da-4674-4c4d-8b96-ec4337c96d71/download
04_Gunawardena_2017_green_blue_review.pdf,pdf,review,"Utilising green and bluespace to mitigate urban heat island intensity",https://api.repository.cam.ac.uk/server/api/core/bitstreams/afeb38de-c674-497d-b510-0b94116bce6d/content
05_Yu_2020_threshold_review.pdf,pdf,review,"Critical review on the cooling effect of urban blue-green space",https://www.sciencedirect.com/science/article/pii/S1618866719302572/pdf
06_Ampatzidis_2020_blue_space_review.pdf,pdf,review,"A review of the impact of blue space on the urban microclimate",https://purehost.bath.ac.uk/ws/files/205143074/Impact_of_Blue_Space_on_the_Urban_Microclimate_Preprint.pdf
07_Yu_2018_background_climate.pdf,pdf,empirical,"Strong contributions of local background climate",https://www.nature.com/articles/s41598-018-25296-w.pdf
08_Ren_2017_seasonal_green_space.pdf,pdf,empirical,"The Effect of Urban Green Spaces and Seasonal Variations",https://www.mdpi.com/1999-4907/8/5/153/pdf
09_Qiu_2021_water_Changsha.pdf,pdf,water,"Impact of Local Environment on Cooling Island Effect of Water Body",https://pdfs.semanticscholar.org/9390/9163865fe86a76d0726ef8f31cde1d7d4ef5.pdf
10_Yang_2020_urban_lake_Jinan.pdf,pdf,water,"The cooling effect of an urban lake landscape",https://aloki.hu/pdf/1802_21972211.pdf
11_Mostofa_2020_water_review.pdf,pdf,water,"Influential factors of water body to enhance urban cooling islands",https://tuengr.com/V11/11A02G.pdf
12_Wang_2020_Fuzhou_parks.pdf,pdf,chinese,"基于Landsat 8遥感影像的福州市区公园降温效应分析",https://www.researchgate.net/profile/Yue-Wang-328/publication/346818099_Environmental_Ecology_-_Analysis_of_the_cooling_effect_of_Fuzhou_City_park_based_on_Landsat_8_image/links/5fd1310d299bf188d406bfdb/Environmental-Ecology-Analysis-of-the-cooling-effect-of-Fuzhou-City-park-based-on-Landsat-8-image.pdf
13_Liang_2015_Guilin_green_water.pdf,pdf,chinese,"桂林市典型园林绿地与水体的降温效应研究",https://www.jeesci.com/99-16gk/article/2015/02/15%E6%A2%81%E4%BF%9D%E5%B9%B3278-285.pdf
14_Chen_2016_Guangzhou_green_pattern.pdf,pdf,chinese,"广州城市绿色空间与地表温度的格局关系研究",https://www.jeesci.com/99-16gk/article/2016/05/17%E9%99%88%E5%BA%B7%E6%9E%97842-849.pdf
15_Ruan_2016_Shanghai_parks.pdf,pdf,chinese,"城市公园对夏季热环境的影响——以上海市中心城区为例",https://www.jeesci.com/99-16gk/article/2016/10/10%E9%98%AE%E4%BF%8A%E6%9D%B01663-1670.pdf
16_Zhang_2018_Guangzhou_lake_season.pdf,pdf,chinese,"高密度建成区湖泊水体的热缓释效应及其季相差异",https://www.researchgate.net/profile/Qifei-Zhang-3/publication/331258062_Seasonal_Variations_of_the_Cooling_Effect_of_Water_Landscape_in_High-density_Urban_Built-up_Area_A_Case_Study_of_the_Center_Urban_District_of_Guangzhou/links/5c6ec28a92851c168fcc718c/Seasonal-Variations-of-the-Cooling-Effect-of-Water-Landscape-in-High-density-Urban-Built-up-Area-A-Case-Study-of-the-Center-Urban-District-of-Guangzhou.pdf
17_Yang_2024_park_cooling_review_CN.pdf,pdf,chinese,"城市公园降温效应的影响因素研究进展",https://journals.caf.ac.cn/data/article/zgcsly/preview/pdf/20240604.pdf
18_USGS_Landsat_C2_L2_products.pdf,pdf,official,"Landsat Collection 2 Level-2 Science Products",https://pubs.usgs.gov/fs/2021/3055/fs20213055.pdf
